"origin_date","horizon","location","target","output_type","output_type_id","value"
"2022-12-19",-6,"20","inc covid hosp","quantile","0.01",35
"2022-12-19",-6,"20","inc covid hosp","quantile","0.025",38
"2022-12-19",-6,"20","inc covid hosp","quantile","0.05",41
"2022-12-19",-6,"20","inc covid hosp","quantile","0.1",44
"2022-12-19",-6,"20","inc covid hosp","quantile","0.15",47
"2022-12-19",-6,"20","inc covid hosp","quantile","0.2",49
"2022-12-19",-6,"20","inc covid hosp","quantile","0.25",50
"2022-12-19",-6,"20","inc covid hosp","quantile","0.3",52
"2022-12-19",-6,"20","inc covid hosp","quantile","0.35",53
"2022-12-19",-6,"20","inc covid hosp","quantile","0.4",54
"2022-12-19",-6,"20","inc covid hosp","quantile","0.45",56
"2022-12-19",-6,"20","inc covid hosp","quantile","0.5",57
"2022-12-19",-6,"20","inc covid hosp","quantile","0.55",59
"2022-12-19",-6,"20","inc covid hosp","quantile","0.6",60
"2022-12-19",-6,"20","inc covid hosp","quantile","0.65",62
"2022-12-19",-6,"20","inc covid hosp","quantile","0.7",64
"2022-12-19",-6,"20","inc covid hosp","quantile","0.75",65
"2022-12-19",-6,"20","inc covid hosp","quantile","0.8",67
"2022-12-19",-6,"20","inc covid hosp","quantile","0.85",70
"2022-12-19",-6,"20","inc covid hosp","quantile","0.9",73
"2022-12-19",-6,"20","inc covid hosp","quantile","0.95",80
"2022-12-19",-6,"20","inc covid hosp","quantile","0.975",84
"2022-12-19",-6,"20","inc covid hosp","quantile","0.99",89
"2022-12-19",3,"20","inc covid hosp","quantile","0.01",23
"2022-12-19",3,"20","inc covid hosp","quantile","0.025",26
"2022-12-19",3,"20","inc covid hosp","quantile","0.05",29
"2022-12-19",3,"20","inc covid hosp","quantile","0.1",33
"2022-12-19",3,"20","inc covid hosp","quantile","0.15",36
"2022-12-19",3,"20","inc covid hosp","quantile","0.2",38
"2022-12-19",3,"20","inc covid hosp","quantile","0.25",40
"2022-12-19",3,"20","inc covid hosp","quantile","0.3",42
"2022-12-19",3,"20","inc covid hosp","quantile","0.35",44
"2022-12-19",3,"20","inc covid hosp","quantile","0.4",46
"2022-12-19",3,"20","inc covid hosp","quantile","0.45",48
"2022-12-19",3,"20","inc covid hosp","quantile","0.5",50
"2022-12-19",3,"20","inc covid hosp","quantile","0.55",52
"2022-12-19",3,"20","inc covid hosp","quantile","0.6",54
"2022-12-19",3,"20","inc covid hosp","quantile","0.65",56
"2022-12-19",3,"20","inc covid hosp","quantile","0.7",58
"2022-12-19",3,"20","inc covid hosp","quantile","0.75",61
"2022-12-19",3,"20","inc covid hosp","quantile","0.8",65
"2022-12-19",3,"20","inc covid hosp","quantile","0.85",69
"2022-12-19",3,"20","inc covid hosp","quantile","0.9",74
"2022-12-19",3,"20","inc covid hosp","quantile","0.95",82
"2022-12-19",3,"20","inc covid hosp","quantile","0.975",88
"2022-12-19",3,"20","inc covid hosp","quantile","0.99",98
"2022-12-19",4,"20","inc covid hosp","quantile","0.01",20
"2022-12-19",4,"20","inc covid hosp","quantile","0.025",23
"2022-12-19",4,"20","inc covid hosp","quantile","0.05",27
"2022-12-19",4,"20","inc covid hosp","quantile","0.1",32
"2022-12-19",4,"20","inc covid hosp","quantile","0.15",35
"2022-12-19",4,"20","inc covid hosp","quantile","0.2",37
"2022-12-19",4,"20","inc covid hosp","quantile","0.25",39
"2022-12-19",4,"20","inc covid hosp","quantile","0.3",41
"2022-12-19",4,"20","inc covid hosp","quantile","0.35",43
"2022-12-19",4,"20","inc covid hosp","quantile","0.4",45
"2022-12-19",4,"20","inc covid hosp","quantile","0.45",47
"2022-12-19",4,"20","inc covid hosp","quantile","0.5",50
"2022-12-19",4,"20","inc covid hosp","quantile","0.55",52
"2022-12-19",4,"20","inc covid hosp","quantile","0.6",54
"2022-12-19",4,"20","inc covid hosp","quantile","0.65",56
"2022-12-19",4,"20","inc covid hosp","quantile","0.7",58
"2022-12-19",4,"20","inc covid hosp","quantile","0.75",60
"2022-12-19",4,"20","inc covid hosp","quantile","0.8",63
"2022-12-19",4,"20","inc covid hosp","quantile","0.85",67
"2022-12-19",4,"20","inc covid hosp","quantile","0.9",71
"2022-12-19",4,"20","inc covid hosp","quantile","0.95",79
"2022-12-19",4,"20","inc covid hosp","quantile","0.975",85
"2022-12-19",4,"20","inc covid hosp","quantile","0.99",95
"2022-12-19",5,"20","inc covid hosp","quantile","0.01",17
"2022-12-19",5,"20","inc covid hosp","quantile","0.025",21
"2022-12-19",5,"20","inc covid hosp","quantile","0.05",24
"2022-12-19",5,"20","inc covid hosp","quantile","0.1",28
"2022-12-19",5,"20","inc covid hosp","quantile","0.15",30
"2022-12-19",5,"20","inc covid hosp","quantile","0.2",33
"2022-12-19",5,"20","inc covid hosp","quantile","0.25",35
"2022-12-19",5,"20","inc covid hosp","quantile","0.3",37
"2022-12-19",5,"20","inc covid hosp","quantile","0.35",39
"2022-12-19",5,"20","inc covid hosp","quantile","0.4",41
"2022-12-19",5,"20","inc covid hosp","quantile","0.45",42
"2022-12-19",5,"20","inc covid hosp","quantile","0.5",44
"2022-12-19",5,"20","inc covid hosp","quantile","0.55",46
"2022-12-19",5,"20","inc covid hosp","quantile","0.6",48
"2022-12-19",5,"20","inc covid hosp","quantile","0.65",50
"2022-12-19",5,"20","inc covid hosp","quantile","0.7",53
"2022-12-19",5,"20","inc covid hosp","quantile","0.75",55
"2022-12-19",5,"20","inc covid hosp","quantile","0.8",58
"2022-12-19",5,"20","inc covid hosp","quantile","0.85",62
"2022-12-19",5,"20","inc covid hosp","quantile","0.9",68
"2022-12-19",5,"20","inc covid hosp","quantile","0.95",76
"2022-12-19",5,"20","inc covid hosp","quantile","0.975",83
"2022-12-19",5,"20","inc covid hosp","quantile","0.99",93
"2022-12-19",6,"20","inc covid hosp","quantile","0.01",19
"2022-12-19",6,"20","inc covid hosp","quantile","0.025",22
"2022-12-19",6,"20","inc covid hosp","quantile","0.05",25
"2022-12-19",6,"20","inc covid hosp","quantile","0.1",29
"2022-12-19",6,"20","inc covid hosp","quantile","0.15",32
"2022-12-19",6,"20","inc covid hosp","quantile","0.2",35
"2022-12-19",6,"20","inc covid hosp","quantile","0.25",37
"2022-12-19",6,"20","inc covid hosp","quantile","0.3",39
"2022-12-19",6,"20","inc covid hosp","quantile","0.35",41
"2022-12-19",6,"20","inc covid hosp","quantile","0.4",43
"2022-12-19",6,"20","inc covid hosp","quantile","0.45",45
"2022-12-19",6,"20","inc covid hosp","quantile","0.5",47
"2022-12-19",6,"20","inc covid hosp","quantile","0.55",49
"2022-12-19",6,"20","inc covid hosp","quantile","0.6",51
"2022-12-19",6,"20","inc covid hosp","quantile","0.65",53
"2022-12-19",6,"20","inc covid hosp","quantile","0.7",55
