"origin_date","horizon","location","target","output_type","output_type_id","value"
"2022-12-12",-6,"20","inc covid hosp","quantile","0.01",31
"2022-12-12",-6,"20","inc covid hosp","quantile","0.025",34
"2022-12-12",-6,"20","inc covid hosp","quantile","0.05",36
"2022-12-12",-6,"20","inc covid hosp","quantile","0.1",38
"2022-12-12",-6,"20","inc covid hosp","quantile","0.15",41
"2022-12-12",-6,"20","inc covid hosp","quantile","0.2",43
"2022-12-12",-6,"20","inc covid hosp","quantile","0.25",45
"2022-12-12",-6,"20","inc covid hosp","quantile","0.3",47
"2022-12-12",-6,"20","inc covid hosp","quantile","0.35",48
"2022-12-12",-6,"20","inc covid hosp","quantile","0.4",49
"2022-12-12",-6,"20","inc covid hosp","quantile","0.45",51
"2022-12-12",-6,"20","inc covid hosp","quantile","0.5",53
"2022-12-12",-6,"20","inc covid hosp","quantile","0.55",54
"2022-12-12",-6,"20","inc covid hosp","quantile","0.6",55
"2022-12-12",-6,"20","inc covid hosp","quantile","0.65",57
"2022-12-12",-6,"20","inc covid hosp","quantile","0.7",59
"2022-12-12",-6,"20","inc covid hosp","quantile","0.75",61
"2022-12-12",-6,"20","inc covid hosp","quantile","0.8",63
"2022-12-12",-6,"20","inc covid hosp","quantile","0.85",67
"2022-12-12",-6,"20","inc covid hosp","quantile","0.9",71
"2022-12-12",-6,"20","inc covid hosp","quantile","0.95",78
"2022-12-12",-6,"20","inc covid hosp","quantile","0.975",83
"2022-12-12",-6,"20","inc covid hosp","quantile","0.99",89
"2022-12-12",-5,"20","inc covid hosp","quantile","0.01",31
"2022-12-12",-5,"20","inc covid hosp","quantile","0.025",34
"2022-12-12",-5,"20","inc covid hosp","quantile","0.05",36
"2022-12-12",-5,"20","inc covid hosp","quantile","0.1",38
"2022-12-12",-5,"20","inc covid hosp","quantile","0.15",41
"2022-12-12",-5,"20","inc covid hosp","quantile","0.2",44
"2022-12-12",-5,"20","inc covid hosp","quantile","0.25",45
"2022-12-12",-5,"20","inc covid hosp","quantile","0.3",47
"2022-12-12",-5,"20","inc covid hosp","quantile","0.35",49
"2022-12-12",-5,"20","inc covid hosp","quantile","0.4",50
"2022-12-12",-5,"20","inc covid hosp","quantile","0.45",52
"2022-12-12",-5,"20","inc covid hosp","quantile","0.5",53
"2022-12-12",-5,"20","inc covid hosp","quantile","0.55",54
"2022-12-12",-5,"20","inc covid hosp","quantile","0.6",56
"2022-12-12",-5,"20","inc covid hosp","quantile","0.65",58
"2022-12-12",-5,"20","inc covid hosp","quantile","0.7",60
"2022-12-12",-5,"20","inc covid hosp","quantile","0.75",62
"2022-12-12",-5,"20","inc covid hosp","quantile","0.8",65
"2022-12-12",-5,"20","inc covid hosp","quantile","0.85",68
"2022-12-12",-5,"20","inc covid hosp","quantile","0.9",72
"2022-12-12",-5,"20","inc covid hosp","quantile","0.95",80
"2022-12-12",-5,"20","inc covid hosp","quantile","0.975",86
"2022-12-12",-5,"20","inc covid hosp","quantile","0.99",94
"2022-12-12",-4,"20","inc covid hosp","quantile","0.01",30
"2022-12-12",-4,"20","inc covid hosp","quantile","0.025",33
"2022-12-12",-4,"20","inc covid hosp","quantile","0.05",36
"2022-12-12",-4,"20","inc covid hosp","quantile","0.1",39
"2022-12-12",-4,"20","inc covid hosp","quantile","0.15",41
"2022-12-12",-4,"20","inc covid hosp","quantile","0.2",43
"2022-12-12",-4,"20","inc covid hosp","quantile","0.25",45
"2022-12-12",-4,"20","inc covid hosp","quantile","0.3",48
"2022-12-12",-4,"20","inc covid hosp","quantile","0.35",49
"2022-12-12",-4,"20","inc covid hosp","quantile","0.4",50
"2022-12-12",-4,"20","inc covid hosp","quantile","0.45",52
"2022-12-12",-4,"20","inc covid hosp","quantile","0.5",53
"2022-12-12",-4,"20","inc covid hosp","quantile","0.55",55
"2022-12-12",-4,"20","inc covid hosp","quantile","0.6",57
"2022-12-12",-4,"20","inc covid hosp","quantile","0.65",59
"2022-12-12",-4,"20","inc covid hosp","quantile","0.7",61
"2022-12-12",-4,"20","inc covid hosp","quantile","0.75",63
"2022-12-12",-4,"20","inc covid hosp","quantile","0.8",66
"2022-12-12",-4,"20","inc covid hosp","quantile","0.85",69
"2022-12-12",-4,"20","inc covid hosp","quantile","0.9",74
"2022-12-12",-4,"20","inc covid hosp","quantile","0.95",80
"2022-12-12",-4,"20","inc covid hosp","quantile","0.975",88
"2022-12-12",-4,"20","inc covid hosp","quantile","0.99",97
"2022-12-12",-3,"20","inc covid hosp","quantile","0.01",29
"2022-12-12",-3,"20","inc covid hosp","quantile","0.025",32
"2022-12-12",-3,"20","inc covid hosp","quantile","0.05",36
"2022-12-12",-3,"20","inc covid hosp","quantile","0.1",38
"2022-12-12",-3,"20","inc covid hosp","quantile","0.15",41
"2022-12-12",-3,"20","inc covid hosp","quantile","0.2",44
"2022-12-12",-3,"20","inc covid hosp","quantile","0.25",46
"2022-12-12",-3,"20","inc covid hosp","quantile","0.3",47
"2022-12-12",-3,"20","inc covid hosp","quantile","0.35",49
"2022-12-12",-3,"20","inc covid hosp","quantile","0.4",50
"2022-12-12",-3,"20","inc covid hosp","quantile","0.45",52
"2022-12-12",-3,"20","inc covid hosp","quantile","0.5",54
"2022-12-12",-3,"20","inc covid hosp","quantile","0.55",56
"2022-12-12",-3,"20","inc covid hosp","quantile","0.6",57
"2022-12-12",-3,"20","inc covid hosp","quantile","0.65",59
"2022-12-12",-3,"20","inc covid hosp","quantile","0.7",61
"2022-12-12",-3,"20","inc covid hosp","quantile","0.75",63
"2022-12-12",-3,"20","inc covid hosp","quantile","0.8",66
"2022-12-12",-3,"20","inc covid hosp","quantile","0.85",69
"2022-12-12",-3,"20","inc covid hosp","quantile","0.9",74
"2022-12-12",-3,"20","inc covid hosp","quantile","0.95",83
"2022-12-12",-3,"20","inc covid hosp","quantile","0.975",89
"2022-12-12",-3,"20","inc covid hosp","quantile","0.99",98
"2022-12-12",-2,"20","inc covid hosp","quantile","0.01",29
"2022-12-12",-2,"20","inc covid hosp","quantile","0.025",31
"2022-12-12",-2,"20","inc covid hosp","quantile","0.05",35
"2022-12-12",-2,"20","inc covid hosp","quantile","0.1",38
"2022-12-12",-2,"20","inc covid hosp","quantile","0.15",41
"2022-12-12",-2,"20","inc covid hosp","quantile","0.2",44
"2022-12-12",-2,"20","inc covid hosp","quantile","0.25",46
"2022-12-12",-2,"20","inc covid hosp","quantile","0.3",47
"2022-12-12",-2,"20","inc covid hosp","quantile","0.35",49
"2022-12-12",-2,"20","inc covid hosp","quantile","0.4",50
"2022-12-12",-2,"20","inc covid hosp","quantile","0.45",52
"2022-12-12",-2,"20","inc covid hosp","quantile","0.5",54
"2022-12-12",-2,"20","inc covid hosp","quantile","0.55",56
"2022-12-12",-2,"20","inc covid hosp","quantile","0.6",57
"2022-12-12",-2,"20","inc covid hosp","quantile","0.65",60
"2022-12-12",-2,"20","inc covid hosp","quantile","0.7",61
"2022-12-12",-2,"20","inc covid hosp","quantile","0.75",64
"2022-12-12",-2,"20","inc covid hosp","quantile","0.8",67
"2022-12-12",-2,"20","inc covid hosp","quantile","0.85",70
"2022-12-12",-2,"20","inc covid hosp","quantile","0.9",74
"2022-12-12",-2,"20","inc covid hosp","quantile","0.95",84
"2022-12-12",-2,"20","inc covid hosp","quantile","0.975",94
"2022-12-12",-2,"20","inc covid hosp","quantile","0.99",101
"2022-12-12",-1,"20","inc covid hosp","quantile","0.01",29
"2022-12-12",-1,"20","inc covid hosp","quantile","0.025",32
"2022-12-12",-1,"20","inc covid hosp","quantile","0.05",35
"2022-12-12",-1,"20","inc covid hosp","quantile","0.1",38
"2022-12-12",-1,"20","inc covid hosp","quantile","0.15",41
"2022-12-12",-1,"20","inc covid hosp","quantile","0.2",43
"2022-12-12",-1,"20","inc covid hosp","quantile","0.25",45
"2022-12-12",-1,"20","inc covid hosp","quantile","0.3",47
"2022-12-12",-1,"20","inc covid hosp","quantile","0.35",49
"2022-12-12",-1,"20","inc covid hosp","quantile","0.4",51
"2022-12-12",-1,"20","inc covid hosp","quantile","0.45",53
"2022-12-12",-1,"20","inc covid hosp","quantile","0.5",55
"2022-12-12",-1,"20","inc covid hosp","quantile","0.55",56
"2022-12-12",-1,"20","inc covid hosp","quantile","0.6",58
