"origin_date","horizon","location","target","output_type","output_type_id","value"
"2022-12-05",-6,"20","inc covid hosp","quantile","0.01",0
"2022-12-05",-6,"20","inc covid hosp","quantile","0.025",0
"2022-12-05",-6,"20","inc covid hosp","quantile","0.05",0
"2022-12-05",-6,"20","inc covid hosp","quantile","0.1",0
"2022-12-05",-6,"20","inc covid hosp","quantile","0.15",7
"2022-12-05",-6,"20","inc covid hosp","quantile","0.2",13
"2022-12-05",-6,"20","inc covid hosp","quantile","0.25",17
"2022-12-05",-6,"20","inc covid hosp","quantile","0.3",22
"2022-12-05",-6,"20","inc covid hosp","quantile","0.35",26
"2022-12-05",-6,"20","inc covid hosp","quantile","0.4",29
"2022-12-05",-6,"20","inc covid hosp","quantile","0.45",33
"2022-12-05",-6,"20","inc covid hosp","quantile","0.5",36
"2022-12-05",-6,"20","inc covid hosp","quantile","0.55",39
"2022-12-05",-6,"20","inc covid hosp","quantile","0.6",43
"2022-12-05",-6,"20","inc covid hosp","quantile","0.65",46
"2022-12-05",-6,"20","inc covid hosp","quantile","0.7",50
"2022-12-05",-6,"20","inc covid hosp","quantile","0.75",55
"2022-12-05",-6,"20","inc covid hosp","quantile","0.8",59
"2022-12-05",-6,"20","inc covid hosp","quantile","0.85",65
"2022-12-05",-6,"20","inc covid hosp","quantile","0.9",72
"2022-12-05",-6,"20","inc covid hosp","quantile","0.95",83
"2022-12-05",-6,"20","inc covid hosp","quantile","0.975",94
"2022-12-05",-6,"20","inc covid hosp","quantile","0.99",106
"2022-12-05",-5,"20","inc covid hosp","quantile","0.01",0
"2022-12-05",-5,"20","inc covid hosp","quantile","0.025",0
"2022-12-05",-5,"20","inc covid hosp","quantile","0.05",0
"2022-12-05",-5,"20","inc covid hosp","quantile","0.1",0
"2022-12-05",-5,"20","inc covid hosp","quantile","0.15",4
"2022-12-05",-5,"20","inc covid hosp","quantile","0.2",10
"2022-12-05",-5,"20","inc covid hosp","quantile","0.25",15
"2022-12-05",-5,"20","inc covid hosp","quantile","0.3",20
"2022-12-05",-5,"20","inc covid hosp","quantile","0.35",24
"2022-12-05",-5,"20","inc covid hosp","quantile","0.4",28
"2022-12-05",-5,"20","inc covid hosp","quantile","0.45",32
"2022-12-05",-5,"20","inc covid hosp","quantile","0.5",36
"2022-12-05",-5,"20","inc covid hosp","quantile","0.55",40
"2022-12-05",-5,"20","inc covid hosp","quantile","0.6",44
"2022-12-05",-5,"20","inc covid hosp","quantile","0.65",48
"2022-12-05",-5,"20","inc covid hosp","quantile","0.7",52
"2022-12-05",-5,"20","inc covid hosp","quantile","0.75",57
"2022-12-05",-5,"20","inc covid hosp","quantile","0.8",62
"2022-12-05",-5,"20","inc covid hosp","quantile","0.85",68
"2022-12-05",-5,"20","inc covid hosp","quantile","0.9",76
"2022-12-05",-5,"20","inc covid hosp","quantile","0.95",89
"2022-12-05",-5,"20","inc covid hosp","quantile","0.975",100
"2022-12-05",-5,"20","inc covid hosp","quantile","0.99",114
"2022-12-05",-4,"20","inc covid hosp","quantile","0.01",0
"2022-12-05",-4,"20","inc covid hosp","quantile","0.025",0
"2022-12-05",-4,"20","inc covid hosp","quantile","0.05",0
"2022-12-05",-4,"20","inc covid hosp","quantile","0.1",0
"2022-12-05",-4,"20","inc covid hosp","quantile","0.15",0
"2022-12-05",-4,"20","inc covid hosp","quantile","0.2",7
"2022-12-05",-4,"20","inc covid hosp","quantile","0.25",13
"2022-12-05",-4,"20","inc covid hosp","quantile","0.3",18
"2022-12-05",-4,"20","inc covid hosp","quantile","0.35",23
"2022-12-05",-4,"20","inc covid hosp","quantile","0.4",27
"2022-12-05",-4,"20","inc covid hosp","quantile","0.45",32
"2022-12-05",-4,"20","inc covid hosp","quantile","0.5",36
"2022-12-05",-4,"20","inc covid hosp","quantile","0.55",40
"2022-12-05",-4,"20","inc covid hosp","quantile","0.6",45
"2022-12-05",-4,"20","inc covid hosp","quantile","0.65",49
"2022-12-05",-4,"20","inc covid hosp","quantile","0.7",54
"2022-12-05",-4,"20","inc covid hosp","quantile","0.75",59
"2022-12-05",-4,"20","inc covid hosp","quantile","0.8",65
"2022-12-05",-4,"20","inc covid hosp","quantile","0.85",72
"2022-12-05",-4,"20","inc covid hosp","quantile","0.9",80
"2022-12-05",-4,"20","inc covid hosp","quantile","0.95",94
"2022-12-05",-4,"20","inc covid hosp","quantile","0.975",106
"2022-12-05",-4,"20","inc covid hosp","quantile","0.99",121
"2022-12-05",-3,"20","inc covid hosp","quantile","0.01",0
"2022-12-05",-3,"20","inc covid hosp","quantile","0.025",0
"2022-12-05",-3,"20","inc covid hosp","quantile","0.05",0
"2022-12-05",-3,"20","inc covid hosp","quantile","0.1",0
"2022-12-05",-3,"20","inc covid hosp","quantile","0.15",0
"2022-12-05",-3,"20","inc covid hosp","quantile","0.2",4
"2022-12-05",-3,"20","inc covid hosp","quantile","0.25",11
"2022-12-05",-3,"20","inc covid hosp","quantile","0.3",17
"2022-12-05",-3,"20","inc covid hosp","quantile","0.35",22
"2022-12-05",-3,"20","inc covid hosp","quantile","0.4",27
"2022-12-05",-3,"20","inc covid hosp","quantile","0.45",31
"2022-12-05",-3,"20","inc covid hosp","quantile","0.5",36
"2022-12-05",-3,"20","inc covid hosp","quantile","0.55",41
"2022-12-05",-3,"20","inc covid hosp","quantile","0.6",45
"2022-12-05",-3,"20","inc covid hosp","quantile","0.65",50
"2022-12-05",-3,"20","inc covid hosp","quantile","0.7",55
"2022-12-05",-3,"20","inc covid hosp","quantile","0.75",61
"2022-12-05",-3,"20","inc covid hosp","quantile","0.8",67
"2022-12-05",-3,"20","inc covid hosp","quantile","0.85",75
"2022-12-05",-3,"20","inc covid hosp","quantile","0.9",84
"2022-12-05",-3,"20","inc covid hosp","quantile","0.95",99
"2022-12-05",-3,"20","inc covid hosp","quantile","0.975",111
"2022-12-05",-3,"20","inc covid hosp","quantile","0.99",128
"2022-12-05",-2,"20","inc covid hosp","quantile","0.01",0
"2022-12-05",-2,"20","inc covid hosp","quantile","0.025",0
"2022-12-05",-2,"20","inc covid hosp","quantile","0.05",0
"2022-12-05",-2,"20","inc covid hosp","quantile","0.1",0
"2022-12-05",-2,"20","inc covid hosp","quantile","0.15",0
"2022-12-05",-2,"20","inc covid hosp","quantile","0.2",3
"2022-12-05",-2,"20","inc covid hosp","quantile","0.25",9
"2022-12-05",-2,"20","inc covid hosp","quantile","0.3",15
"2022-12-05",-2,"20","inc covid hosp","quantile","0.35",21
"2022-12-05",-2,"20","inc covid hosp","quantile","0.4",26
"2022-12-05",-2,"20","inc covid hosp","quantile","0.45",31
"2022-12-05",-2,"20","inc covid hosp","quantile","0.5",36
"2022-12-05",-2,"20","inc covid hosp","quantile","0.55",41
"2022-12-05",-2,"20","inc covid hosp","quantile","0.6",46
"2022-12-05",-2,"20","inc covid hosp","quantile","0.65",51
"2022-12-05",-2,"20","inc covid hosp","quantile","0.7",57
"2022-12-05",-2,"20","inc covid hosp","quantile","0.75",63
"2022-12-05",-2,"20","inc covid hosp","quantile","0.8",70
"2022-12-05",-2,"20","inc covid hosp","quantile","0.85",78
"2022-12-05",-2,"20","inc covid hosp","quantile","0.9",88
"2022-12-05",-2,"20","inc covid hosp","quantile","0.95",103
"2022-12-05",-2,"20","inc covid hosp","quantile","0.975",117
"2022-12-05",-2,"20","inc covid hosp","quantile","0.99",133
"2022-12-05",-1,"20","inc covid hosp","quantile","0.01",0
"2022-12-05",-1,"20","inc covid hosp","quantile","0.025",0
"2022-12-05",-1,"20","inc covid hosp","quantile","0.05",0
"2022-12-05",-1,"20","inc covid hosp","quantile","0.1",0
"2022-12-05",-1,"20","inc covid hosp","quantile","0.15",0
"2022-12-05",-1,"20","inc covid hosp","quantile","0.2",0
"2022-12-05",-1,"20","inc covid hosp","quantile","0.25",7
"2022-12-05",-1,"20","inc covid hosp","quantile","0.3",14
"2022-12-05",-1,"20","inc covid hosp","quantile","0.35",20
"2022-12-05",-1,"20","inc covid hosp","quantile","0.4",25
"2022-12-05",-1,"20","inc covid hosp","quantile","0.45",31
"2022-12-05",-1,"20","inc covid hosp","quantile","0.5",36
"2022-12-05",-1,"20","inc covid hosp","quantile","0.55",41
"2022-12-05",-1,"20","inc covid hosp","quantile","0.6",47
"2022-12-05",-1,"20","inc covid hosp","quantile","0.65",52
"2022-12-05",-1,"20","inc covid hosp","quantile","0.7",58
"2022-12-05",-1,"20","inc covid hosp","quantile","0.75",65
"2022-12-05",-1,"20","inc covid hosp","quantile","0.8",72
"2022-12-05",-1,"20","inc covid hosp","quantile","0.85",80
"2022-12-05",-1,"20","inc covid hosp","quantile","0.9",91
"2022-12-05",-1,"20","inc covid hosp","quantile","0.95",107
"2022-12-05",-1,"20","inc covid hosp","quantile","0.975",122
"2022-12-05",-1,"20","inc covid hosp","quantile","0.99",139
"2022-12-05",0,"20","inc covid hosp","quantile","0.01",0
"2022-12-05",0,"20","inc covid hosp","quantile","0.025",0
"2022-12-05",0,"20","inc covid hosp","quantile","0.05",0
"2022-12-05",0,"20","inc covid hosp","quantile","0.1",0
"2022-12-05",0,"20","inc covid hosp","quantile","0.15",0
"2022-12-05",0,"20","inc covid hosp","quantile","0.2",0
"2022-12-05",0,"20","inc covid hosp","quantile","0.25",6
"2022-12-05",0,"20","inc covid hosp","quantile","0.3",13
"2022-12-05",0,"20","inc covid hosp","quantile","0.35",19
"2022-12-05",0,"20","inc covid hosp","quantile","0.4",25
"2022-12-05",0,"20","inc covid hosp","quantile","0.45",30
"2022-12-05",0,"20","inc covid hosp","quantile","0.5",36
"2022-12-05",0,"20","inc covid hosp","quantile","0.55",42
"2022-12-05",0,"20","inc covid hosp","quantile","0.6",47
"2022-12-05",0,"20","inc covid hosp","quantile","0.65",53
"2022-12-05",0,"20","inc covid hosp","quantile","0.7",59
"2022-12-05",0,"20","inc covid hosp","quantile","0.75",66
"2022-12-05",0,"20","inc covid hosp","quantile","0.8",74
"2022-12-05",0,"20","inc covid hosp","quantile","0.85",83
"2022-12-05",0,"20","inc covid hosp","quantile","0.9",94
"2022-12-05",0,"20","inc covid hosp","quantile","0.95",111
"2022-12-05",0,"20","inc covid hosp","quantile","0.975",126
