time_idx,location,value,target
2021-03-21,46,12,inc covid hosp
2021-03-04,45,82,inc covid hosp
2021-02-26,46,7,inc covid hosp
2021-02-20,44,21,inc covid hosp
2021-02-09,44,19,inc covid hosp
2021-01-25,25,224,inc covid hosp
2021-01-19,23,8,inc covid hosp
2021-01-19,46,10,inc covid hosp
2021-01-16,30,35,inc covid hosp
2021-01-12,02,15,inc covid hosp
2021-01-12,30,51,inc covid hosp
2021-01-12,44,35,inc covid hosp
2021-01-09,44,33,inc covid hosp
2021-01-08,23,14,inc covid hosp
2021-01-07,41,59,inc covid hosp
2021-01-06,45,277,inc covid hosp
2021-01-05,45,288,inc covid hosp
2020-12-31,44,31,inc covid hosp
2020-12-30,44,41,inc covid hosp
2020-12-29,27,116,inc covid hosp
2020-12-29,44,27,inc covid hosp
2020-12-28,46,34,inc covid hosp
2020-12-16,39,708,inc covid hosp
2020-12-09,21,463,inc covid hosp
2020-10-15,78,0,inc covid hosp
2020-10-14,78,0,inc covid hosp
2020-10-13,53,28,inc covid hosp
2020-10-12,78,0,inc covid hosp
2020-10-09,01,101,inc covid hosp
2020-10-08,78,0,inc covid hosp
2020-10-07,78,0,inc covid hosp
2020-10-05,50,2,inc covid hosp
2020-10-04,78,0,inc covid hosp
2020-10-02,78,0,inc covid hosp
2020-09-30,78,0,inc covid hosp
2020-09-30,50,0,inc covid hosp
2020-09-29,44,5,inc covid hosp
2020-09-28,78,0,inc covid hosp
2020-09-27,50,0,inc covid hosp
2020-09-25,78,0,inc covid hosp
2020-09-21,78,0,inc covid hosp
2020-09-21,50,0,inc covid hosp
2020-09-20,78,0,inc covid hosp
2020-09-09,78,0,inc covid hosp
2020-09-08,44,4,inc covid hosp
2020-09-07,02,3,inc covid hosp
2020-09-01,78,1,inc covid hosp
2020-08-28,50,1,inc covid hosp
2020-08-27,50,1,inc covid hosp
2020-08-26,10,6,inc covid hosp
2020-08-24,78,3,inc covid hosp
2020-08-23,78,1,inc covid hosp
2020-08-22,78,1,inc covid hosp
2020-08-20,02,4,inc covid hosp
2020-08-20,33,29,inc covid hosp
2020-08-19,78,0,inc covid hosp
2020-08-17,10,3,inc covid hosp
2020-08-16,33,28,inc covid hosp
2020-08-14,78,1,inc covid hosp
2020-08-07,78,0,inc covid hosp
2020-07-31,02,5,inc covid hosp
2020-07-30,44,7,inc covid hosp
2020-07-28,31,4,inc covid hosp
2020-07-27,31,4,inc covid hosp
2020-07-23,19,78,inc covid hosp
2020-07-22,09,3,inc covid hosp
2020-07-14,46,15,inc covid hosp
2022-09-09,78,0,inc covid hosp
2022-09-08,60,0,inc covid hosp
2022-09-08,78,0,inc covid hosp
2022-09-07,60,0,inc covid hosp
2022-09-06,78,2,inc covid hosp
2022-09-05,60,1,inc covid hosp
2022-09-05,78,2,inc covid hosp
2022-09-05,56,3,inc covid hosp
2022-09-04,53,64,inc covid hosp
2022-09-03,60,0,inc covid hosp
2022-09-03,78,1,inc covid hosp
2022-09-02,60,0,inc covid hosp
2022-09-01,78,1,inc covid hosp
2022-08-31,60,0,inc covid hosp
2022-08-31,78,0,inc covid hosp
2022-08-31,56,5,inc covid hosp
2022-08-29,78,1,inc covid hosp
2022-08-28,60,0,inc covid hosp
2022-08-28,78,2,inc covid hosp
2022-08-27,60,0,inc covid hosp
2022-08-27,78,1,inc covid hosp
2022-08-26,60,0,inc covid hosp
2022-08-26,78,1,inc covid hosp
2022-08-25,60,0,inc covid hosp
2022-08-24,78,1,inc covid hosp
2022-08-23,60,0,inc covid hosp
2022-08-23,78,3,inc covid hosp
2022-08-22,60,0,inc covid hosp
2022-08-21,78,0,inc covid hosp
2022-08-20,60,0,inc covid hosp
2022-08-20,78,0,inc covid hosp
2022-08-19,60,0,inc covid hosp
2022-08-19,56,5,inc covid hosp
2022-08-18,60,1,inc covid hosp
2022-08-18,78,0,inc covid hosp
2022-08-17,60,0,inc covid hosp
2022-08-16,78,1,inc covid hosp
2022-08-15,60,0,inc covid hosp
2022-08-15,78,3,inc covid hosp
2022-08-14,60,0,inc covid hosp
2022-08-13,78,2,inc covid hosp
2022-08-12,60,0,inc covid hosp
2022-08-12,78,0,inc covid hosp
2022-08-11,60,0,inc covid hosp
2022-08-11,78,1,inc covid hosp
2022-08-10,60,0,inc covid hosp
2022-08-10,78,0,inc covid hosp
2022-08-09,60,0,inc covid hosp
2022-08-08,78,2,inc covid hosp
2022-08-07,60,0,inc covid hosp
2022-08-07,78,0,inc covid hosp
2022-08-06,60,1,inc covid hosp
2022-08-05,78,0,inc covid hosp
2022-08-04,60,0,inc covid hosp
2022-08-04,78,0,inc covid hosp
2022-08-03,60,0,inc covid hosp
2022-08-03,78,0,inc covid hosp
2022-08-02,78,0,inc covid hosp
2022-08-01,60,0,inc covid hosp
2022-07-31,56,13,inc covid hosp
2022-07-30,60,0,inc covid hosp
2022-07-30,78,1,inc covid hosp
2022-07-29,60,0,inc covid hosp
2022-07-28,78,1,inc covid hosp
2022-07-27,60,0,inc covid hosp
2022-07-27,78,1,inc covid hosp
2022-07-26,60,2,inc covid hosp
2022-07-26,78,0,inc covid hosp
2022-07-25,78,3,inc covid hosp
2022-07-24,60,2,inc covid hosp
2022-07-23,78,1,inc covid hosp
2022-07-22,60,1,inc covid hosp
2022-07-22,78,1,inc covid hosp
2022-07-21,60,1,inc covid hosp
2022-07-20,78,0,inc covid hosp
2022-07-19,60,0,inc covid hosp
2022-07-19,78,0,inc covid hosp
2022-07-18,60,1,inc covid hosp
2022-07-18,78,3,inc covid hosp
2022-07-17,60,3,inc covid hosp
2022-07-17,78,0,inc covid hosp
2022-07-16,60,7,inc covid hosp
2022-07-15,78,0,inc covid hosp
2022-07-14,78,0,inc covid hosp
2022-07-12,78,0,inc covid hosp
2022-07-11,60,11,inc covid hosp
2022-07-11,78,3,inc covid hosp
2022-07-10,60,0,inc covid hosp
2022-07-10,56,7,inc covid hosp
2022-07-09,60,0,inc covid hosp
2022-07-08,60,1,inc covid hosp
2022-07-07,78,4,inc covid hosp
2022-07-06,78,2,inc covid hosp
2022-07-05,60,2,inc covid hosp
2022-07-04,78,0,inc covid hosp
2022-07-03,60,6,inc covid hosp
2022-07-03,78,0,inc covid hosp
2022-07-02,60,6,inc covid hosp
2022-07-02,78,2,inc covid hosp
2022-07-01,78,0,inc covid hosp
2022-06-30,60,2,inc covid hosp
2022-06-29,78,0,inc covid hosp
2022-06-28,78,0,inc covid hosp
2022-06-27,60,2,inc covid hosp
2022-06-26,78,2,inc covid hosp
2022-06-25,60,2,inc covid hosp
2022-06-25,78,0,inc covid hosp
2022-06-24,60,1,inc covid hosp
2022-06-23,02,17,inc covid hosp
2022-06-23,78,1,inc covid hosp
2022-06-22,60,0,inc covid hosp
2022-06-21,78,1,inc covid hosp
2022-06-20,78,0,inc covid hosp
2022-06-19,60,0,inc covid hosp
2022-06-18,78,2,inc covid hosp
2022-06-17,60,0,inc covid hosp
2022-06-17,78,0,inc covid hosp
2022-06-16,60,0,inc covid hosp
2022-06-16,49,42,inc covid hosp
2022-06-15,60,1,inc covid hosp
2022-06-15,78,0,inc covid hosp
